timestamp,target_id,x,y,z,vx,vy,vz,status
4,1,413.102,5009.06,3002.57,104.47,3.05726,-1.26264,TENTATIVE
4,3,409.395,7621.73,3012.85,101.798,-100.104,2.82107,TENTATIVE
4,4,-1687.39,2603.43,2054.55,-84.8008,130.837,103.253,TENTATIVE
4,5,-861.307,681.538,632.031,-55.7795,44.1374,40.9312,TENTATIVE
4,6,-2586.1,4005.32,525.427,64.7195,-100.237,-13.1493,TENTATIVE
4,7,4819,468.007,1729,-107.013,-10.3928,-38.3948,TENTATIVE
4.2,1,431.517,5006.96,3002.5,103.218,1.77938,-1.17146,TENTATIVE
4.2,3,430.92,7601.21,3014.48,102.289,-100.307,3.22632,TENTATIVE
4.2,5,-872.462,690.365,640.217,-55.7795,44.1374,40.9312,TENTATIVE
4.2,6,-2573.16,3985.27,522.798,64.7195,-100.237,-13.1493,TENTATIVE
4.2,7,4797.6,465.929,1721.32,-107.013,-10.3928,-38.3948,TENTATIVE
4.2,8,3338.51,238.604,237.099,88.4959,6.32484,6.28494,TENTATIVE
4.4,1,449.752,5006.9,3003.34,101.981,1.59551,-0.642519,TENTATIVE
4.4,3,450.537,7581.01,3015.61,101.941,-100.36,3.42465,TENTATIVE
4.4,5,-883.618,699.193,648.403,-55.7795,44.1374,40.9312,TENTATIVE
4.4,6,-2560.22,3965.23,520.168,64.7195,-100.237,-13.1493,TENTATIVE
4.4,7,4776.2,463.85,1713.64,-107.013,-10.3928,-38.3948,TENTATIVE
4.4,8,3356.21,239.869,238.356,88.4959,6.32484,6.28494,TENTATIVE
4.6,1,468.858,5006.75,3004.21,101.311,1.37241,-0.151957,TENTATIVE
4.6,3,470.623,7561.9,3013.92,101.816,-99.9757,2.49655,TENTATIVE
4.6,5,-894.774,708.02,656.589,-55.7795,44.1374,40.9312,TENTATIVE
4.6,6,-2547.27,3945.18,517.538,64.7195,-100.237,-13.1493,TENTATIVE
4.6,7,4754.8,461.772,1705.96,-107.013,-10.3928,-38.3948,TENTATIVE
4.6,8,3373.91,241.134,239.613,88.4959,6.32484,6.28494,TENTATIVE
4.7,1,477.489,5006.63,3004.86,100.506,1.25711,0.180797,TENTATIVE
4.7,3,479.619,7552.4,3013.13,101.328,-99.7743,2.08731,TENTATIVE
4.7,5,-900.352,712.434,660.683,-55.7795,44.1374,40.9312,TENTATIVE
4.7,6,-2540.8,3935.15,516.223,64.7195,-100.237,-13.1493,TENTATIVE
4.7,7,4744.1,460.732,1702.12,-107.013,-10.3928,-38.3948,TENTATIVE
4.7,8,3382.75,241.767,240.242,88.4959,6.32484,6.28494,TENTATIVE
4.9,1,497.667,5007.57,3003.75,100.543,1.5779,-0.36139,TENTATIVE
4.9,3,499.96,7533.11,3011.85,101.346,-99.5058,1.41816,TENTATIVE
4.9,5,-911.508,721.262,668.869,-55.7795,44.1374,40.9312,TENTATIVE
4.9,6,-2527.86,3915.11,513.593,64.7195,-100.237,-13.1493,TENTATIVE
4.9,7,4722.69,458.654,1694.44,-107.013,-10.3928,-38.3948,TENTATIVE
4.9,8,3400.45,243.032,241.499,88.4959,6.32484,6.28494,TENTATIVE
5.1,1,517.021,5008.56,3003.36,100.152,1.5231,-0.72017,TENTATIVE
5.1,3,519.277,7510.13,3009.34,100.791,-102.568,-0.448052,TENTATIVE
5.1,7,4701.29,456.575,1686.76,-107.013,-10.3928,-38.3948,TENTATIVE
5.1,8,3418.15,244.297,242.756,88.4959,6.32484,6.28494,TENTATIVE
5.2,1,527.036,5008.71,3003.28,100.152,1.5231,-0.72017,TENTATIVE
5.2,3,529.339,7499.99,3009.01,100.776,-102.517,-0.568911,TENTATIVE
5.2,7,4690.59,455.536,1682.92,-107.013,-10.3928,-38.3948,TENTATIVE
5.2,8,3427,244.929,243.384,88.4959,6.32484,6.28494,TENTATIVE
5.4,1,547.029,5009.62,3002.14,100.136,1.8069,-1.19056,TENTATIVE
5.4,3,550.277,7478.96,3010.05,101.107,-102.737,-0.104925,TENTATIVE
5.4,7,4669.19,453.458,1675.24,-107.013,-10.3928,-38.3948,TENTATIVE
5.4,8,3444.7,246.194,244.641,88.4959,6.32484,6.28494,TENTATIVE
5.6,1,565.867,5009.28,3003.29,99.5371,1.5018,-0.557191,TENTATIVE
5.6,3,570.725,7458.46,3009.88,101.201,-102.72,-0.166694,TENTATIVE
5.6,7,4647.78,451.379,1667.57,-107.013,-10.3928,-38.3948,TENTATIVE
5.6,8,3462.4,247.459,245.898,88.4959,6.32484,6.28494,TENTATIVE
5.7,1,576.309,5009.19,3003.54,99.7998,1.37915,-0.406278,TENTATIVE
5.7,3,580.857,7448.47,3009.16,101.206,-102.604,-0.451667,TENTATIVE
5.7,7,4637.08,450.34,1663.73,-107.013,-10.3928,-38.3948,TENTATIVE
5.7,8,3471.25,248.092,246.527,88.4959,6.32484,6.28494,TENTATIVE
5.9,1,595.907,5009.19,3003.99,99.6169,1.24982,-0.15299,TENTATIVE
5.9,3,600.338,7428.33,3008.28,100.872,-102.443,-0.774508,TENTATIVE
5.9,7,4615.68,448.261,1656.05,-107.013,-10.3928,-38.3948,TENTATIVE
5.9,8,3488.95,249.357,247.784,88.4959,6.32484,6.28494,TENTATIVE
6.1,1,616.584,5008.15,3002.38,99.9284,0.23203,-1.14141,CONFIRMED
6.1,3,621.019,7408.29,3007.32,101.2,-100.966,-0.581644,CONFIRMED
6.1,8,3506.65,250.622,249.041,88.4959,6.32484,6.28494,TENTATIVE
6.2,1,625.908,5007.96,3002.77,99.5889,0.137908,-0.900844,CONFIRMED
6.2,3,631.463,7398.09,3007.44,101.344,-101.013,-0.505566,CONFIRMED
6.2,8,3515.5,251.254,249.669,88.4959,6.32484,6.28494,TENTATIVE
6.4,1,645.825,5007.99,3002.59,99.5889,0.137908,-0.900844,CONFIRMED
6.4,3,651.603,7377.5,3008.31,101.293,-101.176,-0.0999298,CONFIRMED
