timestamp,target_id,x,y,z,vx,vy,vz
0.08,3,1004.4999804664319,11000.011780948227,3000.0,49.99944483577982,0.23561857696867122,0.0
0.09,1,1024.9999853402894,4000.023998270514,3000.0,249.99961922832202,0.4363320914745773,0.0
0.09,2,1014.9999648167114,7500.028797900493,3000.0,149.99908614866857,0.5235977122835598,0.0
0.09,3,1004.9999736125557,11000.014398930143,3000.0,49.99931461237136,0.2617981915709791,0.0
0.1,1,1027.4999807329523,4000.0287979230084,3000.0,249.99953926629416,0.4799652494499993,0.0
0.1,2,1016.4999537591127,7500.034557472873,3000.0,149.99889424012474,0.5759572378863921,0.0
0.1,3,1005.4999653193694,11000.017278707488,3000.0,49.99917068136722,0.287977734399828,0.0
0.11,1,1029.9999752498406,4000.034033906936,3000.0,249.9994516888449,0.5235983928048438,0.0
0.11,2,1017.9999405996595,7500.0408406398055,3000.0,149.99868405467063,0.628316693310582,0.0
0.11,3,1005.9999554497974,11000.02042027947,3000.0,49.99901304280687,0.3141571982779477,0.0
0.12,1,1032.4999688148005,4000.039706222138,3000.0,249.99935649597688,0.5672315202099691,0.0
0.12,2,1019.4999251555828,7500.047647400527,3000.0,149.9984555923319,0.6806760721762889,0.0
0.12,3,1006.4999438667647,11000.023823645231,3000.0,49.99884169673352,0.34033657602808975,0.0
0.13,1,1034.9999613516775,4000.0458148684415,3000.0,249.99925368769297,0.6108646303362344,0.0
0.13,2,1020.9999072441142,7500.054977754208,3000.0,149.99820885313633,0.733035368103681,0.0
0.13,3,1006.9999304331967,11000.027488803837,3000.0,49.99865664319416,0.36651586047302925,0.0
0.14,1,1037.4999527843174,4000.0523598456602,3000.0,249.9991432639963,0.6544977218544987,0.0
0.14,2,1022.4998866824853,7500.0628316999555,3000.0,149.997943837114,0.785394574712937,0.0
0.14,3,1007.4999150120191,11000.031415754282,3000.0,49.99845788223951,0.39269504443556685,0.0
0.15,1,1039.9999430365663,4000.0593411535947,3000.0,249.9990252248903,0.6981307934356226,0.0
0.15,2,1023.9998632879283,7500.071209236812,3000.0,149.99766054429725,0.8377536856242465,0.0
0.15,3,1007.9998974661584,11000.03560449549,3000.0,49.99824541392405,0.41887412073853086,0.0
0.16,1,1042.49993203227,4000.066758792032,3000.0,249.99889957037846,0.7417638437504662,0.0
0.16,2,1025.4998368776755,7500.080110363757,3000.0,149.9973589747205,0.8901126944578104,0.0
0.16,3,1008.4998776585414,11000.040055026311,3000.0,49.99801923830605,0.44505308220477896,0.0
0.17,1,1044.9999196952747,4000.0746127607467,3000.0,249.9987663004647,0.7853968714698912,0.0
0.17,2,1026.9998072689598,7500.0895350797055,3000.0,149.99703912842057,0.9424715948338426,0.0
0.17,3,1008.9998554520959,11000.044767345527,3000.0,49.99777935544751,0.4712319216572005,0.0
0.18,1,1047.4999059494262,4000.0829030594996,3000.0,249.99862541515301,0.8290298752647594,0.0
0.18,2,1028.4997742790142,7500.099483383509,3000.0,149.9967010054364,0.9948303803725697,0.0
0.18,3,1009.49983070975,11000.049741451847,3000.0,49.997525765414196,0.49741063191871815,0.0
0.19,1,1049.9998907185707,4000.0916296880378,3000.0,249.99847691444774,0.8726628538059334,0.0
0.19,2,1029.9997377250722,7500.109955273956,3000.0,149.99634460580918,1.0471890446942325,0.0
0.19,3,1009.9998032944327,11000.054977343905,3000.0,49.997258468275625,0.52358920581229,0.0
0.2,1,1052.4998739265543,4000.100792646095,3000.0,249.99832079835338,0.9162958057642769,0.0
0.2,2,1031.4996974243682,7500.120950749771,3000.0,149.9959699295824,1.099547581419087,0.0
0.2,3,1010.4997730690737,11000.060475020267,3000.0,49.99697746410509,0.5497676361609115,0.0
0.21,1,1054.999855497223,4000.110391933393,3000.0,249.9981570668747,0.959928729810654,0.0
