timestamp,target_id,x,y,z,vx,vy,vz,status
2.6,13,-1310.39,1560.28,773.342,81.4667,-97.0023,-48.0784,TENTATIVE
2.6,14,-5437.11,3595.47,859.785,157.878,-104.402,-24.9657,TENTATIVE
2.7,1,277.508,5002.14,2978.34,116.489,12.3609,-21.1538,TENTATIVE
2.7,2,-1637,984.621,1033.97,-77.8002,46.7951,49.1407,TENTATIVE
2.7,3,546.518,5696.65,857.933,-13.9805,-145.726,-21.9468,TENTATIVE
2.7,4,-5229.71,5404.75,7146.38,35.1199,-36.2953,-47.9912,TENTATIVE
2.7,5,227.674,7747.88,3002.43,79.2744,-98.6314,3.93499,TENTATIVE
2.7,6,349.546,3331.3,115.273,-14.4221,-137.448,-4.75609,TENTATIVE
2.7,7,-4846.95,408.074,3949.04,-114.614,-3.75964,37.8613,TENTATIVE
2.7,8,4966.7,4293.8,3812.28,-16.446,-14.2179,-12.6234,TENTATIVE
2.7,9,-1500.47,8284.51,5955.68,-9.5627,52.7982,37.9563,TENTATIVE
2.7,10,4045.97,749.438,924.442,-79.2068,-14.6715,-18.0975,TENTATIVE
2.7,11,5347.55,4272.71,2274.86,104.802,83.737,44.583,TENTATIVE
2.7,12,6065.4,3146.16,4159.98,-16.3297,-8.47032,-11.1998,TENTATIVE
2.7,13,-1302.25,1550.58,768.535,81.4667,-97.0023,-48.0784,TENTATIVE
2.7,14,-5421.33,3585.03,857.289,157.878,-104.402,-24.9657,TENTATIVE
2.9,1,298.732,5001.02,2980.43,115.601,10.8797,-18.5453,TENTATIVE
2.9,2,-1652.56,993.98,1043.8,-77.8002,46.7951,49.1407,TENTATIVE
2.9,3,543.722,5667.5,853.544,-13.9805,-145.726,-21.9468,TENTATIVE
2.9,4,-5222.68,5397.49,7136.78,35.1199,-36.2953,-47.9912,TENTATIVE
2.9,5,252.905,7726.85,3005.95,82.8243,-99.1204,4.94932,TENTATIVE
2.9,6,346.662,3303.81,114.322,-14.4221,-137.448,-4.75609,TENTATIVE
2.9,7,-4869.87,407.322,3956.61,-114.614,-3.75964,37.8613,TENTATIVE
2.9,8,4963.41,4290.96,3809.76,-16.446,-14.2179,-12.6234,TENTATIVE
2.9,9,-1502.39,8295.07,5963.27,-9.5627,52.7982,37.9563,TENTATIVE
2.9,10,4030.13,746.504,920.822,-79.2068,-14.6715,-18.0975,TENTATIVE
2.9,11,5368.51,4289.46,2283.78,104.802,83.737,44.583,TENTATIVE
2.9,12,6062.14,3144.46,4157.74,-16.3297,-8.47032,-11.1998,TENTATIVE
2.9,13,-1285.95,1531.18,758.919,81.4667,-97.0023,-48.0784,TENTATIVE
2.9,14,-5389.75,3564.15,852.295,157.878,-104.402,-24.9657,TENTATIVE
3,1,310.293,5002.11,2978.57,115.601,10.8797,-18.5453,TENTATIVE
3,2,-1660.34,998.659,1048.72,-77.8002,46.7951,49.1407,TENTATIVE
3,3,542.324,5652.93,851.349,-13.9805,-145.726,-21.9468,TENTATIVE
3,4,-5219.17,5393.86,7131.98,35.1199,-36.2953,-47.9912,TENTATIVE
3,5,268.73,7717.94,3003.33,85.6183,-98.7545,3.81031,TENTATIVE
3,6,345.22,3290.07,113.846,-14.4221,-137.448,-4.75609,TENTATIVE
3,7,-4881.33,406.946,3960.4,-114.614,-3.75964,37.8613,TENTATIVE
3,8,4961.77,4289.54,3808.49,-16.446,-14.2179,-12.6234,TENTATIVE
3,9,-1503.34,8300.35,5967.07,-9.5627,52.7982,37.9563,TENTATIVE
3,10,4022.21,745.036,919.012,-79.2068,-14.6715,-18.0975,TENTATIVE
3,11,5378.99,4297.83,2288.24,104.802,83.737,44.583,TENTATIVE
3,12,6060.51,3143.61,4156.62,-16.3297,-8.47032,-11.1998,TENTATIVE
3,13,-1277.81,1521.48,754.111,81.4667,-97.0023,-48.0784,TENTATIVE
3,14,-5373.96,3553.71,849.799,157.878,-104.402,-24.9657,TENTATIVE
3.1,1,321.173,5000.86,2976.05,115.232,8.80841,-19.4882,TENTATIVE
3.1,2,-1668.12,1003.34,1053.63,-77.8002,46.7951,49.1407,TENTATIVE
3.1,3,540.926,5638.36,849.155,-13.9805,-145.726,-21.9468,TENTATIVE
3.1,4,-5215.66,5390.23,7127.18,35.1199,-36.2953,-47.9912,TENTATIVE
3.1,5,276.82,7708.35,3003.01,85.4479,-98.6524,3.55946,TENTATIVE
3.1,6,548.193,3258.2,17.262,51.3357,-143.278,-35.6729,TENTATIVE
3.1,7,-4892.8,406.57,3964.18,-114.614,-3.75964,37.8613,TENTATIVE
3.1,8,4960.12,4288.12,3807.23,-16.446,-14.2179,-12.6234,TENTATIVE
3.1,9,-1504.3,8305.63,5970.86,-9.5627,52.7982,37.9563,TENTATIVE
3.1,10,4014.29,743.569,917.203,-79.2068,-14.6715,-18.0975,TENTATIVE
3.1,11,5389.47,4306.21,2292.7,104.802,83.737,44.583,TENTATIVE
3.1,12,6058.87,3142.77,4155.5,-16.3297,-8.47032,-11.1998,TENTATIVE
3.1,13,-1269.66,1511.78,749.303,81.4667,-97.0023,-48.0784,TENTATIVE
3.1,14,-5358.18,3543.27,847.302,157.878,-104.402,-24.9657,TENTATIVE
3.1,15,653.727,11747.9,8307.16,-7.57559,-136.139,-96.2659,TENTATIVE
3.1,16,3771.91,7226.36,4080.39,-78.9813,-151.315,-85.4405,TENTATIVE
3.1,17,-664.075,2350.55,329.248,-45.8178,162.176,22.7164,TENTATIVE
3.1,18,28.6278,1515.77,401.8,-2.59541,-137.42,-36.4274,TENTATIVE
3.1,19,-4151.77,8158.16,607.997,15.2408,-29.9479,-2.23191,TENTATIVE
3.1,20,-6972.75,8457.72,3869.58,-30.5462,37.0516,16.9519,TENTATIVE
3.1,21,-1292.37,5085.02,733.171,-34.7988,136.92,19.7415,TENTATIVE
3.1,22,-2087.69,659.529,819.016,106.329,-33.5906,-41.7134,TENTATIVE
3.2,1,332.696,5001.74,2974.1,115.232,8.80841,-19.4882,TENTATIVE
3.2,2,-1675.9,1008.02,1058.54,-77.8002,46.7951,49.1407,TENTATIVE
3.2,3,539.527,5623.78,846.96,-13.9805,-145.726,-21.9468,TENTATIVE
3.2,4,-5212.15,5386.6,7122.38,35.1199,-36.2953,-47.9912,TENTATIVE
3.2,5,291.732,7698.34,3003.27,87.6974,-98.7018,3.52535,TENTATIVE
3.2,6,553.327,3243.87,13.6948,51.3357,-143.278,-35.6729,TENTATIVE
3.2,7,-4904.26,406.194,3967.97,-114.614,-3.75964,37.8613,TENTATIVE
3.2,8,4958.48,4286.69,3805.97,-16.446,-14.2179,-12.6234,TENTATIVE
3.2,9,-1505.25,8310.91,5974.66,-9.5627,52.7982,37.9563,TENTATIVE
3.2,10,4006.37,742.102,915.393,-79.2068,-14.6715,-18.0975,TENTATIVE
3.2,11,5399.95,4314.58,2297.16,104.802,83.737,44.583,TENTATIVE
3.2,12,6057.24,3141.92,4154.38,-16.3297,-8.47032,-11.1998,TENTATIVE
3.2,13,-1261.51,1502.08,744.495,81.4667,-97.0023,-48.0784,TENTATIVE
3.2,14,-5342.39,3532.83,844.806,157.878,-104.402,-24.9657,TENTATIVE
3.2,15,652.969,11734.3,8297.53,-7.57559,-136.139,-96.2659,TENTATIVE
3.2,16,3764.01,7211.23,4071.84,-78.9813,-151.315,-85.4405,TENTATIVE
3.2,17,-668.657,2366.77,331.52,-45.8178,162.176,22.7164,TENTATIVE
3.2,18,28.3683,1502.03,398.157,-2.59541,-137.42,-36.4274,TENTATIVE
3.2,19,-4150.24,8155.16,607.774,15.2408,-29.9479,-2.23191,TENTATIVE
3.2,20,-6975.8,8461.42,3871.28,-30.5462,37.0516,16.9519,TENTATIVE
3.2,21,-1295.85,5098.71,735.145,-34.7988,136.92,19.7415,TENTATIVE
3.2,22,-2077.06,656.17,814.844,106.329,-33.5906,-41.7134,TENTATIVE
3.4,1,351.567,5001.44,2974.32,113.628,8.06296,-17.9719,TENTATIVE
3.4,2,-1691.46,1017.38,1068.37,-77.8002,46.7951,49.1407,TENTATIVE
3.4,3,536.731,5594.64,842.571,-13.9805,-145.726,-21.9468,TENTATIVE
3.4,4,-5205.12,5379.34,7112.78,35.1199,-36.2953,-47.9912,TENTATIVE
3.4,5,315.671,7677.8,3005.59,89.8399,-98.9713,4.06278,TENTATIVE
3.4,6,563.594,3215.22,6.56018,51.3357,-143.278,-35.6729,TENTATIVE
3.4,7,-4927.18,405.442,3975.54,-114.614,-3.75964,37.8613,TENTATIVE
3.4,8,4955.19,4283.85,3803.44,-16.446,-14.2179,-12.6234,TENTATIVE
3.4,9,-1507.17,8321.47,5982.25,-9.5627,52.7982,37.9563,TENTATIVE
3.4,10,3990.53,739.168,911.773,-79.2068,-14.6715,-18.0975,TENTATIVE
3.4,11,5420.91,4331.33,2306.07,104.802,83.737,44.583,TENTATIVE
3.4,12,6053.97,3140.23,4152.14,-16.3297,-8.47032,-11.1998,TENTATIVE
3.4,13,-1245.22,1482.68,734.88,81.4667,-97.0023,-48.0784,TENTATIVE
3.4,14,-5310.81,3511.95,839.813,157.878,-104.402,-24.9657,TENTATIVE
3.4,15,651.454,11707.1,8278.28,-7.57559,-136.139,-96.2659,TENTATIVE
3.4,16,3748.22,7180.97,4054.76,-78.9813,-151.315,-85.4405,TENTATIVE
3.4,17,-677.821,2399.2,336.063,-45.8178,162.176,22.7164,TENTATIVE
3.4,18,27.8492,1474.54,390.872,-2.59541,-137.42,-36.4274,TENTATIVE
3.4,19,-4147.2,8149.17,607.327,15.2408,-29.9479,-2.23191,TENTATIVE
3.4,20,-6981.91,8468.83,3874.67,-30.5462,37.0516,16.9519,TENTATIVE
3.4,21,-1302.81,5126.09,739.093,-34.7988,136.92,19.7415,TENTATIVE
3.4,22,-2055.79,649.452,806.502,106.329,-33.5906,-41.7134,TENTATIVE
3.5,1,360.421,5001.18,2974.68,112.673,7.68544,-17.1836,TENTATIVE
3.5,2,-1699.24,1022.06,1073.29,-77.8002,46.7951,49.1407,TENTATIVE
3.5,3,535.333,5580.06,840.376,-13.9805,-145.726,-21.9468,TENTATIVE
3.5,4,-5201.61,5375.71,7107.98,35.1199,-36.2953,-47.9912,TENTATIVE
3.5,5,324.655,7667.9,3006,89.8399,-98.9713,4.06278,TENTATIVE
3.5,6,568.728,3200.89,2.99289,51.3357,-143.278,-35.6729,TENTATIVE
3.5,7,-4938.64,405.066,3979.33,-114.614,-3.75964,37.8613,TENTATIVE
3.5,8,4953.55,4282.43,3802.18,-16.446,-14.2179,-12.6234,TENTATIVE
3.5,9,-1508.12,8326.75,5986.04,-9.5627,52.7982,37.9563,TENTATIVE
3.5,10,3982.6,737.701,909.964,-79.2068,-14.6715,-18.0975,TENTATIVE
3.5,11,5431.39,4339.7,2310.53,104.802,83.737,44.583,TENTATIVE
3.5,12,6052.34,3139.38,4151.02,-16.3297,-8.47032,-11.1998,TENTATIVE
3.5,13,-1237.07,1472.98,730.072,81.4667,-97.0023,-48.0784,TENTATIVE
3.5,14,-5295.02,3501.51,837.316,157.878,-104.402,-24.9657,TENTATIVE
3.5,15,650.697,11693.5,8268.65,-7.57559,-136.139,-96.2659,TENTATIVE
3.5,16,3740.32,7165.84,4046.21,-78.9813,-151.315,-85.4405,TENTATIVE
3.5,17,-682.402,2415.42,338.335,-45.8178,162.176,22.7164,TENTATIVE
3.5,18,27.5897,1460.8,387.229,-2.59541,-137.42,-36.4274,TENTATIVE
3.5,19,-4145.67,8146.18,607.104,15.2408,-29.9479,-2.23191,TENTATIVE
3.5,20,-6984.97,8472.54,3876.36,-30.5462,37.0516,16.9519,TENTATIVE
3.5,21,-1306.29,5139.79,741.068,-34.7988,136.92,19.7415,TENTATIVE
3.5,22,-2045.16,646.093,802.33,106.329,-33.5906,-41.7134,TENTATIVE
3.6,1,367.654,4998.16,2979.99,111.144,6.32586,-14.6393,TENTATIVE
3.6,2,-1707.02,1026.74,1078.2,-77.8002,46.7951,49.1407,TENTATIVE
3.6,3,533.935,5565.49,838.181,-13.9805,-145.726,-21.9468,TENTATIVE
3.6,4,-5198.1,5372.08,7103.18,35.1199,-36.2953,-47.9912,TENTATIVE
3.6,5,333.639,7658,3006.4,89.8399,-98.9713,4.06278,TENTATIVE
3.6,6,573.861,3186.56,-0.574401,51.3357,-143.278,-35.6729,TENTATIVE
3.6,7,-4950.1,404.69,3983.11,-114.614,-3.75964,37.8613,TENTATIVE
3.6,8,4951.9,4281.01,3800.92,-16.446,-14.2179,-12.6234,TENTATIVE
3.6,9,-1509.08,8332.03,5989.84,-9.5627,52.7982,37.9563,TENTATIVE
3.6,10,3974.68,736.234,908.154,-79.2068,-14.6715,-18.0975,TENTATIVE
3.6,11,5441.87,4348.07,2314.99,104.802,83.737,44.583,TENTATIVE
3.6,12,6050.71,3138.53,4149.9,-16.3297,-8.47032,-11.1998,TENTATIVE
3.6,13,-1228.93,1463.28,725.264,81.4667,-97.0023,-48.0784,TENTATIVE
